Timestamp,Dónde estás trabajando,Dedicación,Contrato Plazo Fijo,Último salario mensual  o retiro BRUTO (en tu moneda CLP),Último salario mensual o retiro NETO (en tu moneda CLP),Pagos,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2023?,Que Porcentaje de ipc % te reajustaron,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Tiempo en el puesto actual,¿Cuántas personas a cargo tienes?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Salir o seguir contestando sobre las guardias?,¿Tienes turnos?,Cuánto cobrás por los turnos,Aclara el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,Tengo (edad),Me identifico (género),¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento en tu ciudad?
11/22/2023 17:17:16,Región Metropolitana,Full-Time,Contrato Indefinido,2350000,1900000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance grupal,Uno,7,Octubre,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Rappi)",3,"Sí, estoy buscando activamente.",Developer,3,1,1,0,"Amazon Web Services, Google Cloud Platform",Kotlin,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,8,2,Terminar encuesta,,,,,,,,,,43,Varón Cis,
11/22/2023 17:25:45,Región Metropolitana,Full-Time,Contrato Indefinido,600000,600000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,1,Abono de Internet,1,"Sí, estoy buscando activamente.",Technical Writer,5,1,1,0,"Azure, HP-UX, Windows Server","Bash/Shell, C, HTML, SQL","SAP, WordPress","HANA, MySQL",OpenQA,De 101 a 200 personas,100% remoto,0,3,3,Terminar encuesta,,,,,,,,,,27,hetero,
11/22/2023 19:05:42,Región Metropolitana,Full-Time,Contrato Indefinido,3400000,2800000,Cobro todo el salario en pesos,,De uno a tres sueldos,Performance de la compañía,Uno,5,Julio,4,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias), Seguro complementario de salud",4,"No, pero escucho ofertas.",SRE (Site Reliability Engineer),3,2,2,1,"Azure, Docker, Linux, Windows Server","Bash/Shell, Python, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Neo4j, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,10,2,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Instituto Profesional INACAP,Responder sobre guardias,"Sí, activa",0,Neto,Terminar encuesta,34,Varón Cis,"Accenture, EY, Deloitte "
11/22/2023 19:40:05,Región del Biobío,Full-Time,Contrato Indefinido,3300000,2600000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",3,"No, pero escucho ofertas.",Data Engineer,5,1,1,0,Azure,"C#, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,8,0,Terminar encuesta,,,,,,,,,,35,Prefiero no decir,
11/22/2023 22:12:56,Región Metropolitana,Full-Time,Contrato Indefinido,1240375,988975,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Horarios flexibles",2,"No, pero escucho ofertas.",Translator,5,5,5,0,Google Cloud Platform,Ninguno de los anteriores,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,0,1,Terminar encuesta,,,,,,,,,,31,Varón Cis,
11/22/2023 22:36:44,Región Metropolitana,Full-Time,Contrato Indefinido,3709000,2801000,Cobro todo el salario en pesos,,Un sueldo,Performance de la compañía,No,0,No tuve,4,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",4,"No, pero escucho ofertas.",DevOps Engineer,10,0,2,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Python",Flask,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,8,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Duoc UC Universidad Católica,Terminar encuesta,,,,,37,Varón Cis,
11/22/2023 23:38:48,Región Metropolitana,Part-Time,Contrato Indefinido,822148,691130,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Developer,1,1,1,0,Google Cloud Platform,"Python, SQL","Django, Flask","Google Cloud Storage, PostgreSQL, Google Bigtable",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,8,5,Responder sobre mis estudios,Universitario,Completo,Ingenierio Civil en Informatica,Universidad de Chile,Terminar encuesta,,,,,23,Mujer Cis,No se
11/23/2023 0:31:18,Región Metropolitana,Full-Time,Contrato Indefinido,750000,,Cobro todo el salario en pesos,,No,No recibo bono,Uno,3,Marzo,2,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas",1,"Sí, estoy buscando activamente.",Developer,3,1,1,0,"Amazon Web Services, Azure, Docker, Kubernetes, VMWare","Javascript, SQL, TypeScript","jQuery, Node.js","MongoDB, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% presencial,0,2,2,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Duoc UC Universidad Católica,Terminar encuesta,No,0,Neto,Responder sobre mis estudios,40,Agénero,
11/23/2023 0:55:08,Región Metropolitana,Full-Time,Contrato Indefinido,850000,850000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",Developer,1,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, Liquid","React.js, Shopify ",Ninguna de las anteriores,Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),3,2,2,Responder sobre mis estudios,Terciario,Completo,Diseño Multimedial,Instituto Profesional INACAP,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,35,Mujer Cis,"Google, Globant, Mercado Libre"
11/23/2023 7:39:12,Región de Coquimbo,Full-Time,Contrato Indefinido,1000000,800000,Cobro todo el salario en pesos,,Menos de un sueldo,Mix de las anteriores,No,0,Diciembre,3,Vacaciones flexibles (adicionales a las reglamentarias),3,"Sí, estoy buscando activamente.",SysAdmin,20,13,13,1,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% presencial,0,5,0,Terminar encuesta,,,,,,,,,,40,Varón Cis,
11/23/2023 8:56:59,Región Metropolitana,Full-Time,Contrato Indefinido,2649099,1962456,Cobro todo el salario en pesos,,Menos de un sueldo,"Metas de la gerencia TI 95%, metas personales 5%",No,0,No tuve,3,Horarios flexibles,3,"No, pero escucho ofertas.",Project Manager,14,1,0,1,"Google Cloud Platform, Monday, drive.",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Cypress,De 5001 a 10000 personas,Híbrido (presencial y remoto),1,8,3,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Otra,Terminar encuesta,,,,,35,Mujer Cis,
11/23/2023 13:08:23,Región Metropolitana,Full-Time,Contrato Indefinido,5000000,4500000,Cobro todo el salario en pesos,,De uno a tres sueldos,Mix de las anteriores,No,100,Enero,3,"Abono de celular, Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado",3,"No, pero escucho ofertas.",Architect,15,7,2,15,"Azure, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Mainframe","Go, Java, Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, MongoDB, MySQL, Oracle, PostgreSQL, Redis",K6,De 2001a 5000 personas,Híbrido (presencial y remoto),2,10,1,Responder sobre mis estudios,Posgrado/Especialización,Completo,Ingeniería en Informática,Duoc UC Universidad Católica,Terminar encuesta,,,,,44,Hombre,
11/23/2023 13:40:26,Región Metropolitana,Full-Time,Contrato Indefinido,1382348,1120000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Ninguna de las anteriores",2,"No, pero escucho ofertas.",email developer,3,3,3,0,Ninguna de las anteriores,"CSS, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),2,6,0,Responder sobre guardias,Secundario,Incompleto,,,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,30,Mujer Cis,
11/23/2023 14:45:53,Región Metropolitana,Full-Time,Contrato Indefinido,762500,620000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance grupal,Uno,0,Septiembre,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",HelpDesk,12,6,6,0,"Arduino o similar, Azure, Google Cloud Platform, Microcontroladores","PHP, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% presencial,0,1,1,Terminar encuesta,,,,,,,,,,40,Varón Cis,
11/23/2023 14:52:54,Región Metropolitana,Full-Time,Contrato Indefinido,2909000,2995000,Cobro todo el salario en pesos,,Un sueldo,Un año de contrato,No,0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",Developer,3,0,3,0,Firebase,"CSS, HTML, Java, Javascript, Objective-C, Ruby, Swift, TypeScript","Node.js, React.js, React Native",Ninguna de las anteriores,Jest,De 51 a 100 personas,100% remoto,0,8,2,Terminar encuesta,,,,,,,,,,26,Varón Cis,"Mercadolibre, tenpo, fintual"
11/23/2023 14:54:50,Región Metropolitana,Full-Time,Contrato Indefinido,1100000,950000,Cobro todo el salario en pesos,,No,No recibo bono,Dos,0,Octubre,3,"Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Recruiter / HR,2,2,0,0,SAP,VBA,Ninguno de los anteriores,"Microsoft SQL Server, Oracle, SQLite",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),3,9,4,Terminar encuesta,,,,,,,,,,25,Varón Cis,
11/23/2023 15:38:34,Región Metropolitana,Full-Time,Contrato Indefinido,700,700,Cobro todo el salario en pesos,,No,No recibo bono,No,0,Abril,2,Abono de Internet,3,"Sí, estoy buscando activamente.",QA / Tester,3,3,0,0,Amazon Web Services,"Arduino, COBOL, HTML, Java, Javascript, R",".NET Core, Next.js, Node.js, Rails","Microsoft Azure (Tables, CosmosDB, SQL, etc)","Appium, JUnit, Postman, Selenium",De 51 a 100 personas,100% remoto,0,0,0,Responder sobre mis estudios,Universitario,En curso,Analista de Computación,AIEP,Responder sobre guardias,No,0,Neto,Terminar encuesta,35,Mujer Cis,No sabría decir
11/23/2023 17:43:37,Región Metropolitana,Part-Time,Freelance,1100000,900000,Cobro todo el salario en U.F.,,No,No recibo bono,No,0,No tuve,2,Horarios flexibles,1,"Sí, estoy buscando activamente.",Consultant,1,1,1,0,Google Cloud Platform,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1 (solamente yo),Híbrido (presencial y remoto),1,2,0,Terminar encuesta,,,,,,,,,,34,Varón Cis,
11/23/2023 19:21:51,Región Metropolitana,Part-Time,Participacion de la empresa,631000,550000,Cobro todo el salario en pesos,,No,No recibo bono,Uno,0,No tuve,2,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,1,0,0,0,"Amazon Web Services, Docker, Linux","CSS, Go, TypeScript","Next.js, Node.js, React.js","MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),1,7,2,Terminar encuesta,,,,,,,,,,24,Varón Cis,
11/23/2023 19:22:49,Región Metropolitana,Full-Time,Contrato Indefinido,1628000,1300000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Developer,2,2,2,0,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, CSS, Javascript, Python, TypeScript","Next.js, Node.js, React.js","Amazon DynamoDB, MySQL, PostgreSQL","Jest, Selenium",De 11  a 50  personas,100% remoto,0,7,4,Responder sobre mis estudios,Universitario,En curso,Ingeniero Civil en Informatica y Telecomunicaciones,Universidad Diego Portales,Terminar encuesta,,,,,26,Varón Cis,
11/23/2023 22:43:19,Región Metropolitana,Full-Time,Contrato Indefinido,1695400,1367830,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,3,3,3,0,"Azure, Windows Server",".NET, C#, CSS, HTML",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Postman,De 11  a 50  personas,100% presencial,0,3,1,Terminar encuesta,,,,,,,,,,26,Prefiero no decir,
